groupe,modèle,mode,temps,formes,personne
-er,manger,subjonctif,imparfait,il mangeât,il
-er,manger,subjonctif,imparfait,nous mangeassions,nous
-er,manger,subjonctif,imparfait,vous mangeassiez,vous
-er,manger,subjonctif,imparfait,ils mangeassent,ils
-er,manger,subjonctif,passé,j'aie mangé,je
-er,manger,subjonctif,passé,tu aies mangé,tu
-er,manger,subjonctif,passé,il ait mangé,il
-er,manger,subjonctif,passé,nous ayons mangé,nous
-er,manger,subjonctif,passé,vous ayez mangé,vous
-er,manger,subjonctif,passé,ils aient mangé,ils
-er,manger,subjonctif,plus-que-parfait,j'eusse mangé,je
-er,manger,subjonctif,plus-que-parfait,tu eusses mangé,tu
-er,manger,subjonctif,plus-que-parfait,il eût mangé,il
-er,manger,subjonctif,plus-que-parfait,nous eussions mangé,nous
-er,manger,subjonctif,plus-que-parfait,vous eussiez mangé,vous
-er,manger,subjonctif,plus-que-parfait,ils eussent mangé,ils
-ir,finir,indicatif,présent,je finis,je
-ir,finir,indicatif,présent,tu finis,tu
-ir,finir,indicatif,présent,il finit,il
-ir,finir,indicatif,présent,nous finissons,nous
-ir,finir,indicatif,présent,vous finissez,vous
-ir,finir,indicatif,présent,ils finissent,ils
-ir,finir,indicatif,imparfait,je finissais,je
-ir,finir,indicatif,imparfait,tu finissais,tu
-ir,finir,indicatif,imparfait,il finissait,il
-ir,finir,indicatif,imparfait,nous finissions,nous
-ir,finir,indicatif,imparfait,vous finissiez,vous
-ir,finir,indicatif,imparfait,ils finissaient,ils
-ir,finir,indicatif,passé composé,j'ai fini,je
-ir,finir,indicatif,passé composé,tu as fini,tu
-ir,finir,indicatif,passé composé,il a fini,il
-ir,finir,indicatif,passé composé,nous avons fini,nous
-ir,finir,indicatif,passé composé,vous avez fini,vous
-ir,finir,indicatif,passé composé,ils ont fini,ils
-ir,finir,indicatif,plus-que-parfait,j'avais fini,je
-ir,finir,indicatif,plus-que-parfait,tu avais fini,tu
-ir,finir,indicatif,plus-que-parfait,il avait fini,il
-ir,finir,indicatif,plus-que-parfait,nous avions fini,nous
-ir,finir,indicatif,plus-que-parfait,vous aviez fini,vous
-ir,finir,indicatif,plus-que-parfait,ils avaient fini,ils
-ir,finir,indicatif,futur simple,je finirai,je
-ir,finir,indicatif,futur simple,tu finiras,tu
-ir,finir,indicatif,futur simple,il finira,il
-ir,finir,indicatif,futur simple,nous finirons,nous
-ir,finir,indicatif,futur simple,vous finirez,vous
-ir,finir,indicatif,futur simple,ils finiront,ils
-ir,finir,indicatif,passé simple,je finis,je
-ir,finir,indicatif,passé simple,tu finis,tu
-ir,finir,indicatif,passé simple,il finit,il
-ir,finir,indicatif,passé simple,nous finîmes,nous
-ir,finir,indicatif,passé simple,vous finîtes,vous
-ir,finir,indicatif,passé simple,ils finirent,ils
-ir,finir,subjonctif,présent,je finisse,je
-ir,finir,subjonctif,présent,tu finisses,tu
-ir,finir,subjonctif,présent,il finisse,il
-ir,finir,subjonctif,présent,nous finissions,nous
-ir,finir,subjonctif,présent,vous finissiez,vous
-ir,finir,subjonctif,présent,ils finissent,ils
-ir,finir,subjonctif,imparfait,je finisse,je
-ir,finir,subjonctif,imparfait,tu finisses,tu
-ir,finir,subjonctif,imparfait,il finît,il
-ir,finir,subjonctif,imparfait,nous finissions,nous
-ir,finir,subjonctif,imparfait,vous finissiez,vous
-ir,finir,subjonctif,imparfait,ils finissent,ils
-ir,finir,subjonctif,passé,j'aie fini,je
-ir,finir,subjonctif,passé,tu aies fini,tu
-ir,finir,subjonctif,passé,il ait fini,il
-ir,finir,subjonctif,passé,nous ayons fini,nous
-ir,finir,subjonctif,passé,vous ayez fini,vous
-ir,finir,subjonctif,passé,ils aient fini,ils
-ir,finir,subjonctif,plus-que-parfait,j'eusse fini,je
-ir,finir,subjonctif,plus-que-parfait,tu eusses fini,tu
-ir,finir,subjonctif,plus-que-parfait,il eût fini,il
-ir,finir,subjonctif,plus-que-parfait,nous eussions fini,nous
-ir,finir,subjonctif,plus-que-parfait,vous eussiez fini,vous
